Sample Name	Protocol REF	Date	Performer	Parameter Value[chromatography instrument]	Parameter Value[chromatography column]	Parameter Value[elution program]	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[randomized run order]	Parameter Value[injection mode]	Parameter Value[instrument]	Parameter Value[scan polarity]	Raw Spectral Data File
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#0_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#0_blood_extract-20	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-20_blood_LC_neg_run-0	20	LC	Agilent QTOF	positive	acquired-data-20_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#1_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#1_blood_extract-21	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-21_blood_LC_neg_run-0	21	LC	Agilent QTOF	positive	acquired-data-21_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#2_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#2_blood_extract-22	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-22_blood_LC_neg_run-0	22	LC	Agilent QTOF	positive	acquired-data-22_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#3_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#0_sample#3_blood_extract-23	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-23_blood_LC_neg_run-0	23	LC	Agilent QTOF	positive	acquired-data-23_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#0_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#0_blood_extract-24	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-24_blood_LC_neg_run-0	24	LC	Agilent QTOF	positive	acquired-data-24_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#1_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#1_blood_extract-25	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-25_blood_LC_neg_run-0	25	LC	Agilent QTOF	positive	acquired-data-25_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#2_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#2_blood_extract-26	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-26_blood_LC_neg_run-0	26	LC	Agilent QTOF	positive	acquired-data-26_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#3_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#1_sample#3_blood_extract-27	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-27_blood_LC_neg_run-0	27	LC	Agilent QTOF	positive	acquired-data-27_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#0_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#0_blood_extract-28	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-28_blood_LC_neg_run-0	28	LC	Agilent QTOF	positive	acquired-data-28_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#1_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#1_blood_extract-29	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-29_blood_LC_neg_run-0	29	LC	Agilent QTOF	positive	acquired-data-29_platform-LC_positive_blood_run-0.mzml.gz
