fname,disk_size,df_size,isa_size,study_id
study.txt,8976,11075,2712,synthetic-isa-1sample-6assays
a_blood_ms_FIA_positive_assay.txt,14646,16704,5312,synthetic-isa-1sample-6assays
a_blood_ms_FIA_negative_assay.txt,14486,16544,5312,synthetic-isa-1sample-6assays
a_blood_ms_LC_positive_assay.txt,18561,21974,5312,synthetic-isa-1sample-6assays
a_blood_ms_LC_negative_assay.txt,18561,21974,5312,synthetic-isa-1sample-6assays
a_blood_ms_GC_positive_assay.txt,18561,21974,5312,synthetic-isa-1sample-6assays
a_blood_ms_GC_negative_assay.txt,18561,21974,5312,synthetic-isa-1sample-6assays
study.txt,26597,33176,7912,synthetic-isa-3samples-1assay
a_sweat_ms_GC_negative_assay.txt,18841,22254,5312,synthetic-isa-3samples-1assay
a_blood_ms_GC_negative_assay.txt,18801,22214,5312,synthetic-isa-3samples-1assay
a_tears_ms_GC_negative_assay.txt,18841,22254,5312,synthetic-isa-3samples-1assay
study.txt,11974,13675,2712,synthetic-isa-1sample-1assay
a_blood_ms_GC_negative_assay.txt,21770,24814,5312,synthetic-isa-1sample-1assay
study.txt,26477,33056,7912,synthetic-isa-3samples-6assays
a_blood_ms_FIA_positive_assay.txt,14646,16704,5312,synthetic-isa-3samples-6assays
a_blood_ms_FIA_negative_assay.txt,14486,16544,5312,synthetic-isa-3samples-6assays
a_blood_ms_LC_positive_assay.txt,18561,21974,5312,synthetic-isa-3samples-6assays
a_blood_ms_LC_negative_assay.txt,18561,21974,5312,synthetic-isa-3samples-6assays
a_blood_ms_GC_positive_assay.txt,18561,21974,5312,synthetic-isa-3samples-6assays
a_blood_ms_GC_negative_assay.txt,18561,21974,5312,synthetic-isa-3samples-6assays
a_sweat_ms_FIA_positive_assay.txt,14886,16944,5312,synthetic-isa-3samples-6assays
a_sweat_ms_FIA_negative_assay.txt,14566,16624,5312,synthetic-isa-3samples-6assays
a_sweat_ms_LC_positive_assay.txt,14726,16784,5312,synthetic-isa-3samples-6assays
a_sweat_ms_LC_negative_assay.txt,14566,16624,5312,synthetic-isa-3samples-6assays
a_sweat_ms_GC_positive_assay.txt,14726,16784,5312,synthetic-isa-3samples-6assays
a_sweat_ms_GC_negative_assay.txt,14726,16784,5312,synthetic-isa-3samples-6assays
a_tears_ms_FIA_positive_assay.txt,14886,16944,5312,synthetic-isa-3samples-6assays
a_tears_ms_FIA_negative_assay.txt,14566,16624,5312,synthetic-isa-3samples-6assays
a_tears_ms_LC_positive_assay.txt,14726,16784,5312,synthetic-isa-3samples-6assays
a_tears_ms_LC_negative_assay.txt,14566,16624,5312,synthetic-isa-3samples-6assays
a_tears_ms_GC_positive_assay.txt,14726,16784,5312,synthetic-isa-3samples-6assays
a_tears_ms_GC_negative_assay.txt,14726,16784,5312,synthetic-isa-3samples-6assays
study.txt,9016,11115,2712,synthetic-isa-1sample-4assay
a_blood_ms_LC_positive_assay.txt,18561,21974,5312,synthetic-isa-1sample-4assay
a_blood_ms_LC_negative_assay.txt,18561,21974,5312,synthetic-isa-1sample-4assay
a_blood_ms_GC_positive_assay.txt,18561,21974,5312,synthetic-isa-1sample-4assay
a_blood_ms_GC_negative_assay.txt,18561,21974,5312,synthetic-isa-1sample-4assay
study.txt,9016,11115,2712,synthetic-isa-1sample-2assay
a_blood_ms_LC_negative_assay.txt,18561,21974,5312,synthetic-isa-1sample-2assay
a_blood_ms_GC_negative_assay.txt,18561,21974,5312,synthetic-isa-1sample-2assay
study.txt,17796,22135,5312,synthetic-isa-2samples-1assay
a_blood_ms_GC_negative_assay.txt,18801,22214,5312,synthetic-isa-2samples-1assay
a_sweat_ms_GC_negative_assay.txt,18841,22254,5312,synthetic-isa-2samples-1assay
